kiem_tra,trang_thai,chi_tiet
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8199021207177815, 0.15917230401910068, 0.38204393505253104, 0.8520100854461409, 0.1479899145538591, 0.2247191011235955, 0.6958512993387037, 0.1639804241435563, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.14681647940074907, F1 trực tiếp=0.14681647940074907"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9256769983686787, 0.3402777777777778, 0.0936007640878701, 0.9866928141196246, 0.013307185880375402, 0.14681647940074907, 0.6845017608457954, 0.018792822185970635, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2260176487332764, F1 trực tiếp=0.2260176487332764"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8225774877650898, 0.16098945660989455, 0.37917860553963706, 0.8550917495447542, 0.14490825045524583, 0.2260176487332764, 0.6958512993387037, 0.16091353996737356, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.14078041315990819, F1 trực tiếp=0.14078041315990819"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.926721044045677, 0.35384615384615387, 0.08787010506208214, 0.9882336461689312, 0.011766353831068777, 0.1407804131599082, 0.6845017608457954, 0.016965742251223492, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22588099364529174, F1 trực tiếp=0.22588099364529174"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8251223491027733, 0.1619047619047619, 0.3734479465138491, 0.8582434514637904, 0.14175654853620956, 0.22588099364529174, 0.6958512993387037, 0.15758564437194128, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.1192368839427663, F1 trực tiếp=0.1192368839427663"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.927699836867863, 0.35545023696682465, 0.07163323782234957, 0.9904748564224681, 0.009525143577531868, 0.1192368839427663, 0.6845017608457954, 0.013768352365415987, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22736595370641666, F1 trực tiếp=0.22736595370641663"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8279282218597064, 0.16398985629754861, 0.37058261700095513, 0.8614651912032497, 0.13853480879675026, 0.22736595370641666, 0.6958512993387037, 0.15438825448613377, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.10705596107055962, F1 trực tiếp=0.1070559610705596"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9281566068515498, 0.3548387096774194, 0.06303724928366762, 0.9915954615492366, 0.008404538450763412, 0.10705596107055962, 0.6845017608457954, 0.012137030995106036, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22711058263971462, F1 trực tiếp=0.22711058263971462"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8303425774877651, 0.16486836426413465, 0.3648519579751671, 0.86447681748144, 0.13552318251856002, 0.22711058263971462, 0.6958512993387037, 0.15119086460032627, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.10024650780608052, F1 trực tiếp=0.10024650780608052"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9285481239804242, 0.3588235294117647, 0.05826170009551098, 0.9923658775738899, 0.0076341224261101, 0.10024650780608052, 0.6845017608457954, 0.011092985318107667, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2273276904474002, F1 trực tiếp=0.22732769044740025"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8332137030995106, 0.16629809818664307, 0.35912129894937916, 0.8679787085025914, 0.1320212914974086, 0.2273276904474002, 0.6958512993387037, 0.14753670473083197, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.074829931972789115, F1 trực tiếp=0.074829931972789115"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9290048939641109, 0.34108527131782945, 0.04202483285577841, 0.9940467852640426, 0.005953214735957417, 0.07482993197278912, 0.6845017608457954, 0.008417618270799348, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22597482345716915, F1 trực tiếp=0.22597482345716918"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8354975530179445, 0.1665158371040724, 0.35148042024832854, 0.8709903347807816, 0.1290096652192184, 0.22597482345716915, 0.6958512993387037, 0.14420880913539968, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.060816681146828845, F1 trực tiếp=0.060816681146828845"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9294616639477977, 0.33653846153846156, 0.033428844317096466, 0.995167390390811, 0.004832609609188962, 0.060816681146828845, 0.6845017608457954, 0.006786296900489396, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22795031055900619, F1 trực tiếp=0.22795031055900622"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8377814029363785, 0.1688909341923608, 0.35052531041069723, 0.8735116963160107, 0.12648830368398936, 0.2279503105590062, 0.6958512993387037, 0.14179445350734093, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.05272407732864675, F1 trực tiếp=0.05272407732864675"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9296574225122349, 0.32967032967032966, 0.02865329512893983, 0.9957276929541953, 0.0042723070458047345, 0.05272407732864675, 0.6845017608457954, 0.005938009787928222, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22867972204674672, F1 trực tiếp=0.22867972204674669"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.840652528548124, 0.1708352996696555, 0.3457497612225406, 0.876943549516739, 0.12305645048326096, 0.22867972204674672, 0.6958512993387037, 0.13827079934747144, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.046181172291296618, F1 trực tiếp=0.046181172291296625"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9299184339314845, 0.3291139240506329, 0.024832855778414518, 0.9962879955175795, 0.0037120044824205073, 0.04618117229129662, 0.6845017608457954, 0.0051549755301794455, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22970805261469365, F1 trực tiếp=0.22970805261469363"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8433278955954323, 0.17294685990338166, 0.3419293218720153, 0.8800952514357753, 0.11990474856422469, 0.22970805261469365, 0.6958512993387037, 0.13507340946166393, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.037803780378037805, F1 trực tiếp=0.037803780378037805"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9302446982055464, 0.328125, 0.02005730659025788, 0.9969883737218098, 0.003011626278190223, 0.037803780378037805, 0.6845017608457954, 0.004176182707993475, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22946544980443284, F1 trực tiếp=0.22946544980443284"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.845742251223491, 0.17417120237506184, 0.3361986628462273, 0.8831068777139656, 0.11689312228603446, 0.22946544980443284, 0.6958512993387037, 0.13187601957585646, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.029143897996357013, F1 trực tiếp=0.029143897996357013"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9304404567699837, 0.3137254901960784, 0.015281757402101241, 0.9975486762851941, 0.0024513237148059953, 0.029143897996357013, 0.6845017608457954, 0.0033278955954323002, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.23043908880818753, F1 trực tiếp=0.23043908880818753"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8478955954323002, 0.17608476286579214, 0.3333333333333333, 0.8856282392491945, 0.11437176075080543, 0.23043908880818753, 0.6958512993387037, 0.12933115823817293, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.027447392497712716, F1 trực tiếp=0.027447392497712716"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9306362153344209, 0.32608695652173914, 0.014326647564469915, 0.9978288275668861, 0.0021711724331138814, 0.027447392497712716, 0.6845017608457954, 0.00300163132137031, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22960725075528698, F1 trực tiếp=0.22960725075528701"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8502446982055465, 0.17701863354037267, 0.32664756446991405, 0.8886398655273848, 0.11136013447261521, 0.22960725075528698, 0.6958512993387037, 0.12606851549755302, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.025664527956003668, F1 trực tiếp=0.025664527956003668"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9306362153344209, 0.3181818181818182, 0.013371537726838587, 0.9978988653873091, 0.002101134612690853, 0.025664527956003668, 0.6845017608457954, 0.002871125611745514, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2294636795655125, F1 trực tiếp=0.22946367956551256"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8518760195758565, 0.1779884149552396, 0.3228271251193887, 0.8906709623196526, 0.1093290376803474, 0.2294636795655125, 0.6958512993387037, 0.12391517128874388, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.025688073394495414, F1 trực tiếp=0.025688073394495414"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9307014681892333, 0.32558139534883723, 0.013371537726838587, 0.9979689032077321, 0.0020310967922678247, 0.025688073394495414, 0.6845017608457954, 0.0028058727569331156, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2274914089347079, F1 trực tiếp=0.2274914089347079"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8533115823817292, 0.17767042404723565, 0.31614135625596945, 0.8927020591119205, 0.10729794088807956, 0.2274914089347079, 0.6958512993387037, 0.12156606851549755, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.023919043238270467, F1 trực tiếp=0.02391904323827047"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9307667210440457, 0.325, 0.012416427889207259, 0.9981089788485782, 0.0018910211514217678, 0.023919043238270467, 0.6845017608457954, 0.0026101141924959217, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22592978797358357, F1 trực tiếp=0.2259297879735836"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8546818923327896, 0.17759562841530055, 0.3104106972301815, 0.8945930802633422, 0.10540691973665779, 0.22592978797358357, 0.6958512993387037, 0.11941272430668842, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.023963133640552997, F1 trực tiếp=0.023963133640552997"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9308972267536705, 0.34210526315789475, 0.012416427889207259, 0.9982490544894242, 0.001750945510575711, 0.023963133640552997, 0.6845017608457954, 0.002479608482871126, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22629538244624603, F1 trực tiếp=0.22629538244624603"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8567699836867863, 0.1793296089385475, 0.30659025787965616, 0.8971144417985712, 0.10288555820142878, 0.22629538244624603, 0.6958512993387037, 0.11680261011419249, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.024029574861367836, F1 trực tiếp=0.024029574861367836"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9310929853181077, 0.37142857142857144, 0.012416427889207259, 0.9984591679506933, 0.0015408320493066256, 0.024029574861367836, 0.6845017608457954, 0.0022838499184339315, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22728892055575345, F1 trực tiếp=0.22728892055575348"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8584665579119086, 0.18125, 0.3046800382043935, 0.899075500770416, 0.10092449922958398, 0.22728892055575345, 0.6958512993387037, 0.11484502446982056, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.022201665124884366, F1 trực tiếp=0.022201665124884366"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9310277324632953, 0.35294117647058826, 0.011461318051575931, 0.9984591679506933, 0.0015408320493066256, 0.022201665124884366, 0.6845017608457954, 0.0022185970636215335, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22776572668112802, F1 trực tiếp=0.22776572668112799"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8606199021207178, 0.18324607329842932, 0.3008595988538682, 0.9016669001260681, 0.09833309987393192, 0.22776572668112802, 0.6958512993387037, 0.11216965742251224, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.022222222222222223, F1 trực tiếp=0.022222222222222223"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9310929853181077, 0.36363636363636365, 0.011461318051575931, 0.9985292057711164, 0.001470794228883597, 0.022222222222222223, 0.6845017608457954, 0.0021533442088091355, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22800586510263932, F1 trực tiếp=0.22800586510263929"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8625774877650897, 0.18500892325996432, 0.29703915950334286, 0.904048186020451, 0.09595181397954895, 0.22800586510263932, 0.6958512993387037, 0.10969004893964111, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.022222222222222223, F1 trực tiếp=0.022222222222222223"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9310929853181077, 0.36363636363636365, 0.011461318051575931, 0.9985292057711164, 0.001470794228883597, 0.022222222222222223, 0.6845017608457954, 0.0021533442088091355, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22759390107846783, F1 trực tiếp=0.22759390107846783"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8644698205546493, 0.18635809987819732, 0.2922636103151863, 0.906429471914834, 0.09357052808516599, 0.22759390107846783, 0.6958512993387037, 0.10714518760195758, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.022242817423540315, F1 trực tiếp=0.022242817423540315"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9311582381729201, 0.375, 0.011461318051575931, 0.9985992435915394, 0.0014007564084605687, 0.022242817423540315, 0.6845017608457954, 0.0020880913539967376, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22773393461104846, F1 trực tiếp=0.22773393461104849"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.865905383360522, 0.18773234200743494, 0.28939828080229224, 0.9081804174254097, 0.09181958257459027, 0.22773393461104846, 0.6958512993387037, 0.10531810766721043, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.022242817423540315, F1 trực tiếp=0.022242817423540315"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9311582381729201, 0.375, 0.011461318051575931, 0.9985992435915394, 0.0014007564084605687, 0.022242817423540315, 0.6845017608457954, 0.0020880913539967376, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22892025944296066, F1 trực tiếp=0.22892025944296071"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8681239804241435, 0.1905972045743329, 0.28653295128939826, 0.9107718167810618, 0.08922818321893823, 0.22892025944296066, 0.6958512993387037, 0.10270799347471452, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.020446096654275089, F1 trực tiếp=0.020446096654275093"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9312234910277325, 0.3793103448275862, 0.010506208213944603, 0.9987393192323855, 0.0012606807676145118, 0.02044609665427509, 0.6845017608457954, 0.0018923327895595432, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22505800464037123, F1 trực tiếp=0.22505800464037123"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8692332789559544, 0.18908382066276802, 0.27793696275071633, 0.9125928001120606, 0.08740719988793949, 0.22505800464037123, 0.6958512993387037, 0.10042414355628058, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.020503261882572225, F1 trực tiếp=0.020503261882572229"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9314192495921697, 0.4230769230769231, 0.010506208213944603, 0.9989494326936545, 0.0010505673063454265, 0.020503261882572225, 0.6845017608457954, 0.001696574225122349, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2277886497064579, F1 trực tiếp=0.22778864970645793"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8712561174551386, 0.1929708222811671, 0.27793696275071633, 0.9147639725451744, 0.0852360274548256, 0.2277886497064579, 0.6958512993387037, 0.09840130505709625, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.018709073900841908, F1 trực tiếp=0.018709073900841908"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9315497553017944, 0.45454545454545453, 0.009551098376313277, 0.9991595461549236, 0.0008404538450763413, 0.018709073900841908, 0.6845017608457954, 0.001435562805872757, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22601110229976212, F1 trực tiếp=0.2260111022997621"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.872626427406199, 0.19322033898305085, 0.2722063037249284, 0.9166549936965962, 0.08334500630340384, 0.22601110229976212, 0.6958512993387037, 0.09624796084828711, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.018709073900841908, F1 trực tiếp=0.018709073900841908"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9315497553017944, 0.45454545454545453, 0.009551098376313277, 0.9991595461549236, 0.0008404538450763413, 0.018709073900841908, 0.6845017608457954, 0.001435562805872757, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22641509433962262, F1 trực tiếp=0.22641509433962265"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.874257748776509, 0.19529085872576177, 0.2693409742120344, 0.9186160526684409, 0.08138394733155904, 0.22641509433962262, 0.6958512993387037, 0.09422512234910277, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.018726591760299626, F1 trực tiếp=0.018726591760299626"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.47619047619047616, 0.009551098376313277, 0.9992295839753467, 0.0007704160246533128, 0.018726591760299626, 0.6845017608457954, 0.0013703099510603588, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2271062271062271, F1 trực tiếp=0.2271062271062271"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8760848287112561, 0.19787234042553192, 0.2664756446991404, 0.9207872251015549, 0.07921277489844517, 0.2271062271062271, 0.6958512993387037, 0.09200652528548124, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.018726591760299626, F1 trực tiếp=0.018726591760299626"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.47619047619047616, 0.009551098376313277, 0.9992295839753467, 0.0007704160246533128, 0.018726591760299626, 0.6845017608457954, 0.0013703099510603588, 0.06831973898858075]"
Có common threshold thỏa alert rate của cả hai model,PASS,số candidate hợp lệ=37
Lần chạy official tự động chọn common threshold bằng F1 trên validation,PASS,"run_tag=official, threshold_mode=AUTO_VALIDATION"
"Threshold thử thủ công của validation nằm trong [0, 1]",PASS,"thresholds=[0.09, 0.094, 0.1]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22069910897875256, F1 trực tiếp=0.22069910897875258"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7774225122349103, 0.14504504504504503, 0.46131805157593125, 0.800602325255638, 0.19939767474436196, 0.22069910897875256, 0.6958512993387037, 0.2172920065252855, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.24279069767441863, F1 trực tiếp=0.2427906976744186"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.893768352365416, 0.23662737987307345, 0.2492836676217765, 0.9410281552038101, 0.05897184479618994, 0.24279069767441863, 0.6845017608457954, 0.07197389885807504, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22390613541921292, F1 trực tiếp=0.22390613541921289"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7928221859706363, 0.1504599211563732, 0.437440305635148, 0.8188821963860484, 0.18111780361395152, 0.22390613541921292, 0.6958512993387037, 0.19862969004893963, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22005730659025791, F1 trực tiếp=0.22005730659025788"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9111908646003263, 0.27507163323782235, 0.1833810888252149, 0.9645608628659477, 0.03543913713405239, 0.2200573065902579, 0.6845017608457954, 0.04554649265905383, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22477923468022479, F1 trực tiếp=0.22477923468022479"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8109624796084829, 0.15613382899628253, 0.40114613180515757, 0.8410141476397255, 0.15898585236027454, 0.2247792346802248, 0.6958512993387037, 0.17553017944535074, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.16979819067501739, F1 trực tiếp=0.16979819067501739"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9221533442088091, 0.3128205128205128, 0.11652340019102196, 0.9812298641266284, 0.018770135873371622, 0.1697981906750174, 0.6845017608457954, 0.025448613376835235, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22390613541921292, F1 trực tiếp=0.22390613541921289"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7928221859706363, 0.1504599211563732, 0.437440305635148, 0.8188821963860484, 0.18111780361395152, 0.22390613541921292, 0.6958512993387037, 0.19862969004893963, 0.06831973898858075]"
Confusion matrix Logistic Regression bằng số dòng tập đánh giá,PASS,"TP+TN+FP+FN=15325, số dòng=15325"
TP+FN Logistic Regression bằng số late thật,PASS,TP+FN=1047
TN+FP Logistic Regression bằng số not late thật,PASS,TN+FP=14278
TP+FP Logistic Regression bằng số order được cảnh báo,PASS,"TP+FP=3044, cảnh báo=3044"
TN+FN Logistic Regression bằng số order không được cảnh báo,PASS,"TN+FN=12281, không cảnh báo=12281"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22005730659025791, F1 trực tiếp=0.22005730659025788"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9111908646003263, 0.27507163323782235, 0.1833810888252149, 0.9645608628659477, 0.03543913713405239, 0.2200573065902579, 0.6845017608457954, 0.04554649265905383, 0.06831973898858075]"
Confusion matrix Random Forest bằng số dòng tập đánh giá,PASS,"TP+TN+FP+FN=15325, số dòng=15325"
TP+FN Random Forest bằng số late thật,PASS,TP+FN=1047
TN+FP Random Forest bằng số not late thật,PASS,TN+FP=14278
TP+FP Random Forest bằng số order được cảnh báo,PASS,"TP+FP=698, cảnh báo=698"
TN+FN Random Forest bằng số order không được cảnh báo,PASS,"TN+FN=14627, không cảnh báo=14627"
Validation Logistic Regression khớp bảng candidate được chọn,PASS,model=Logistic Regression
Validation Random Forest khớp bảng candidate được chọn,PASS,model=Random Forest
Common threshold chỉ được chọn từ validation,PASS,"threshold=0.094, mode=AUTO_VALIDATION"
Model demo chỉ được chọn từ metrics validation,PASS,"model=Logistic Regression, tie-break=F1/Recall/Precision/AUC/tên cố định"
train_full có đủ hai class để xác định baseline,PASS,"counts=[{'is_late': 0.0, 'count': 72106}, {'is_late': 1.0, 'count': 5273}]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9339479335812687, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.06605206641873133]"
Confusion matrix Baseline majority class bằng số dòng tập đánh giá,PASS,"TP+TN+FP+FN=19091, số dòng=19091"
TP+FN Baseline majority class bằng số late thật,PASS,TP+FN=1261
TN+FP Baseline majority class bằng số not late thật,PASS,TN+FP=17830
TP+FP Baseline majority class bằng số order được cảnh báo,PASS,"TP+FP=0, cảnh báo=0"
TN+FN Baseline majority class bằng số order không được cảnh báo,PASS,"TN+FN=19091, không cảnh báo=19091"
AUC baseline test bằng 0.5,PASS,AUC=0.5
Preprocessing train_full giữ nguyên số dòng,PASS,"trước=77379, sau=77379"
Metadata có tên cho toàn bộ transformed feature,PASS,"num_attrs=141, số tên=141"
Test preprocessing giữ nguyên số dòng,PASS,"trước=19091, sau=19091"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21388512860181785, F1 trực tiếp=0.21388512860181783"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7870724425121786, 0.14143222506393863, 0.43854084060269627, 0.8117218171620864, 0.18827818283791362, 0.21388512860181785, 0.7018961350991807, 0.20480854853072128, 0.06605206641873133]"
Confusion matrix Logistic Regression bằng số dòng tập đánh giá,PASS,"TP+TN+FP+FN=19091, số dòng=19091"
TP+FN Logistic Regression bằng số late thật,PASS,TP+FN=1261
TN+FP Logistic Regression bằng số not late thật,PASS,TN+FP=17830
TP+FP Logistic Regression bằng số order được cảnh báo,PASS,"TP+FP=3910, cảnh báo=3910"
TN+FN Logistic Regression bằng số order không được cảnh báo,PASS,"TN+FN=15181, không cảnh báo=15181"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21186813186813186, F1 trực tiếp=0.21186813186813186"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9060813996123828, 0.23767258382642997, 0.19111816019032513, 0.9566461020751542, 0.043353897924845765, 0.21186813186813186, 0.6872840595579981, 0.053114032790320044, 0.06605206641873133]"
Confusion matrix Random Forest bằng số dòng tập đánh giá,PASS,"TP+TN+FP+FN=19091, số dòng=19091"
TP+FN Random Forest bằng số late thật,PASS,TP+FN=1261
TN+FP Random Forest bằng số not late thật,PASS,TN+FP=17830
TP+FP Random Forest bằng số order được cảnh báo,PASS,"TP+FP=1014, cảnh báo=1014"
TN+FN Random Forest bằng số order không được cảnh báo,PASS,"TN+FN=18077, không cảnh báo=18077"
Hai model có đủ probability trên test,PASS,"join=19091, test=19091"
Logistic Regression có cả hai label để tạo ROC curve,PASS,"positive=1261, negative=17830"
AUC_manual Logistic Regression khớp AUC_Spark,PASS,"AUC_manual=0.70189613509918103, AUC_Spark=0.7018961350991807, độ lệch=3.3306690738754696e-16"
Random Forest có cả hai label để tạo ROC curve,PASS,"positive=1261, negative=17830"
AUC_manual Random Forest khớp AUC_Spark,PASS,"AUC_manual=0.68728405955799843, AUC_Spark=0.68728405955799809, độ lệch=3.3306690738754696e-16"
Baseline majority class có cả hai label để tạo ROC curve,PASS,"positive=1261, negative=17830"
AUC_manual Baseline majority class khớp AUC_Spark,PASS,"AUC_manual=0.5, AUC_Spark=0.5, độ lệch=0"
Chọn được order A,PASS,quy tắc=True Positive có probability_late cao nhất
Chọn được order B,PASS,quy tắc=False Positive có probability_late cao nhất
Chọn được order C,PASS,quy tắc=False Negative gần common threshold nhất ở phía dưới
Chọn được order D,PASS,quy tắc=True Negative có probability_late thấp nhất
Thu được đúng bốn order demo khác nhau,PASS,"order=[('A', 'f46b842d9b4dfd29acf5eec998837ede'), ('B', '686c0ba20be3837a5041edbc39d3f9ae'), ('C', '9b1d71b20edcf15ab15e0bb4a932f23f'), ('D', 'c2bb89b5c1dd978d507284be78a04cb2')]"
Số Logistic Regression coefficients bằng features vector,PASS,"coefficients=141, features=141"
Logistic Regression probability order A khớp Spark,PASS,"manual=0.39798931891486933, Spark=0.39798931891486933, độ lệch=0"
Logistic Regression probability order B khớp Spark,PASS,"manual=0.73944765651953459, Spark=0.73944765651954547, độ lệch=1.0880185641326534e-14"
Logistic Regression probability order C khớp Spark,PASS,"manual=0.093995718010235374, Spark=0.093995718010240203, độ lệch=4.829470157119431e-15"
